City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Itarantim,-15.6597,-40.0656,66.36,95,45,2.06,BR,2021-06-06 23:39:23
283,Scottsbluff,41.8666,-103.6672,84.43,38,1,11.01,US,2021-06-06 23:36:06
284,Samarai,-10.6167,150.6667,78.31,88,99,15.23,PG,2021-06-06 23:34:59
285,Andenes,69.3143,16.1194,58.46,76,75,8.05,NO,2021-06-06 23:36:14
286,Lubbock,33.6001,-101.8338,94.37,34,40,16.11,US,2021-06-06 23:39:24
287,Lubao,14.9167,120.55,86.14,73,99,2.04,PH,2021-06-06 23:39:24
288,Ajdabiya,30.7554,20.2263,73.51,38,0,8.79,LY,2021-06-06 23:39:24
289,General Higinio Morinigo,-25.95,-55.9167,61.79,98,100,1.9,PY,2021-06-06 23:39:25
290,Lavrentiya,65.5833,-171.0,34.97,94,100,2.73,RU,2021-06-06 23:36:06
291,Sambava,-14.2667,50.1667,71.11,88,28,10.54,MG,2021-06-06 23:37:39
292,Port Shepstone,-30.7414,30.455,59.16,82,0,12.15,ZA,2021-06-06 23:39:25
